contractor_id,contractor_name,category,member_id,member_name,role,experience_years,rating,availability,team_size
C037,Insulation Contractor,Specialized Services,C037-M05,Gopal Mehta,Waterproofing Technician,4,4.7,Available,7
C037,Insulation Contractor,Specialized Services,C037-M06,Venkat Khan,Cladding Installer,6,4.9,Available,7
C037,Insulation Contractor,Specialized Services,C037-M07,Chandra Goud,Helper,8,4.3,Busy,7
C038,Generator & Electrical Backup Contractor,Specialized Services,C038-M01,Rajesh Jain,Electrical Engineer,3,4.6,Busy,7
C038,Generator & Electrical Backup Contractor,Specialized Services,C038-M02,Ganesh Murthy,Generator Supervisor,5,4.8,Available,7
C038,Generator & Electrical Backup Contractor,Specialized Services,C038-M03,Prakash Patel,Generator Technician,7,4.2,Available,7
C038,Generator & Electrical Backup Contractor,Specialized Services,C038-M04,Kiran Naidu,UPS Technician,9,4.4,Available,7
C038,Generator & Electrical Backup Contractor,Specialized Services,C038-M05,Madhav Mishra,Battery Technician,11,4.6,Available,7
C038,Generator & Electrical Backup Contractor,Specialized Services,C038-M06,Raghu Nair,Control Panel Technician,13,4.8,Busy,7
C038,Generator & Electrical Backup Contractor,Specialized Services,C038-M07,Sanjay Mehta,Electrician,15,4.2,Available,7
C039,Swimming Pool Contractor,Specialized Services,C039-M01,Shankar Pillai,Pool Engineer,10,4.5,Available,7
C039,Swimming Pool Contractor,Specialized Services,C039-M02,Bharat Varma,Pool Supervisor,12,4.7,Available,7
C039,Swimming Pool Contractor,Specialized Services,C039-M03,Sandeep Jain,Civil Technician,14,4.9,Available,7
C039,Swimming Pool Contractor,Specialized Services,C039-M04,Amit Murthy,Waterproofing Technician,3,4.3,Available,7
C039,Swimming Pool Contractor,Specialized Services,C039-M05,Deepak Patel,Plumbing Technician,5,4.5,Busy,7
C039,Swimming Pool Contractor,Specialized Services,C039-M06,Uday Naidu,Filtration Technician,7,4.7,Available,7
C039,Swimming Pool Contractor,Specialized Services,C039-M07,Nithin Mishra,Pool Finishing Worker,9,4.9,Available,7
C040,Gas Pipeline Contractor,Specialized Services,C040-M01,Manish Chowdary,Gas Engineer,4,4.4,Available,7
C040,Gas Pipeline Contractor,Specialized Services,C040-M02,Rakesh Iyer,Pipeline Supervisor,6,4.6,Available,7
C040,Gas Pipeline Contractor,Specialized Services,C040-M03,Rajan Pillai,Gas Fitter,8,4.8,Available,7
C040,Gas Pipeline Contractor,Specialized Services,C040-M04,Naresh Varma,Pipe Welder,10,4.2,Busy,7
C040,Gas Pipeline Contractor,Specialized Services,C040-M05,Vivek Jain,Testing Technician,12,4.4,Available,7
C040,Gas Pipeline Contractor,Specialized Services,C040-M06,Ranjit Murthy,Safety Inspector,14,4.6,Available,7
C040,Gas Pipeline Contractor,Specialized Services,C040-M07,Mukul Patel,Helper,3,4.8,Available,7
C041,Drainage & Sewerage Contractor,Specialized Services,C041-M01,Arjun Kumar,Drainage Engineer,11,4.3,Available,7
C041,Drainage & Sewerage Contractor,Specialized Services,C041-M02,Rahul Singh,Site Supervisor,13,4.5,Available,7
C041,Drainage & Sewerage Contractor,Specialized Services,C041-M03,Vikram Chowdary,Pipe Fitter,15,4.7,Busy,7
C041,Drainage & Sewerage Contractor,Specialized Services,C041-M04,Suresh Iyer,Sewer Technician,4,4.9,Available,7
C041,Drainage & Sewerage Contractor,Specialized Services,C041-M05,Ramesh Pillai,Drainage Installer,6,4.3,Available,7
C041,Drainage & Sewerage Contractor,Specialized Services,C041-M06,Karthik Varma,Excavation Worker,8,4.5,Available,7
C041,Drainage & Sewerage Contractor,Specialized Services,C041-M07,Pradeep Jain,Helper,10,4.7,Available,7
C042,Concrete & RMC Contractor,Construction Support,C042-M01,Naveen Babu,Concrete Engineer,5,4.2,Available,7
C042,Concrete & RMC Contractor,Construction Support,C042-M02,Rohit Agarwal,RMC Supervisor,7,4.4,Busy,7
C042,Concrete & RMC Contractor,Construction Support,C042-M03,Manoj Kumar,Batching Plant Operator,9,4.6,Available,7
C042,Concrete & RMC Contractor,Construction Support,C042-M04,Harish Singh,Concrete Pump Operator,11,4.8,Available,7
C042,Concrete & RMC Contractor,Construction Support,C042-M05,Ajay Chowdary,Finishing Supervisor,13,4.2,Available,7
C042,Concrete & RMC Contractor,Construction Support,C042-M06,Vijay Iyer,Lab Technician,15,4.4,Available,7
C042,Concrete & RMC Contractor,Construction Support,C042-M07,Sai Pillai,Helper,4,4.6,Busy,7
C043,Rebar / Steel Fixing Contractor,Construction Support,C043-M01,Dinesh Menon,Rebar Supervisor,12,4.9,Busy,7
C043,Rebar / Steel Fixing Contractor,Construction Support,C043-M02,Mahesh Joshi,Steel Fixer,14,4.3,Available,7
C043,Rebar / Steel Fixing Contractor,Construction Support,C043-M03,Anil Babu,Bar Bender,3,4.5,Available,7
C043,Rebar / Steel Fixing Contractor,Construction Support,C043-M04,Sunil Agarwal,Rebar Cutter,5,4.7,Available,7
C043,Rebar / Steel Fixing Contractor,Construction Support,C043-M05,Tarun Kumar,RCC Supervisor,7,4.9,Available,7
C043,Rebar / Steel Fixing Contractor,Construction Support,C043-M06,Varun Singh,Site Helper,9,4.3,Busy,7
C043,Rebar / Steel Fixing Contractor,Construction Support,C043-M07,Aditya Chowdary,Safety Officer,11,4.5,Available,7
C044,Plastering Contractor,Construction Support,C044-M01,Akash Verma,Plastering Supervisor,6,4.8,Available,7
C044,Plastering Contractor,Construction Support,C044-M02,Ravi Yadav,Senior Plasterer,8,4.2,Available,7
C044,Plastering Contractor,Construction Support,C044-M03,Mohan Menon,Plasterer,10,4.4,Available,7
C044,Plastering Contractor,Construction Support,C044-M04,Nikhil Joshi,Wall Finishing Worker,12,4.6,Available,7
C044,Plastering Contractor,Construction Support,C044-M05,Abhishek Babu,Machine Plaster Operator,14,4.8,Busy,7
C044,Plastering Contractor,Construction Support,C044-M06,Pavan Agarwal,Screeding Worker,3,4.2,Available,7
C044,Plastering Contractor,Construction Support,C044-M07,Srikanth Kumar,Helper,5,4.4,Available,7
C045,Scaffolding Contractor,Construction Support,C045-M01,Teja Prasad,Scaffolding Supervisor,13,4.7,Available,7
C045,Scaffolding Contractor,Construction Support,C045-M02,Lokesh Reddy,Scaffolder,15,4.9,Available,7
C045,Scaffolding Contractor,Construction Support,C045-M03,Yash Verma,Senior Scaffolder,4,4.3,Available,7
C045,Scaffolding Contractor,Construction Support,C045-M04,Surya Yadav,Safety Inspector,6,4.5,Busy,7
C045,Scaffolding Contractor,Construction Support,C045-M05,Gopal Menon,Erection Technician,8,4.7,Available,7
C045,Scaffolding Contractor,Construction Support,C045-M06,Venkat Joshi,Dismantling Technician,10,4.9,Available,7
C045,Scaffolding Contractor,Construction Support,C045-M07,Chandra Babu,Helper,12,4.3,Available,7
C046,Surveying Contractor,Construction Support,C046-M01,Rajesh Kapoor,Survey Engineer,7,4.6,Available,7
C046,Surveying Contractor,Construction Support,C046-M02,Ganesh Shetty,Senior Surveyor,9,4.8,Available,7
C046,Surveying Contractor,Construction Support,C046-M03,Prakash Prasad,Total Station Operator,11,4.2,Busy,7
C046,Surveying Contractor,Construction Support,C046-M04,Kiran Reddy,Leveling Technician,13,4.4,Available,7
C046,Surveying Contractor,Construction Support,C046-M05,Madhav Verma,GPS Technician,15,4.6,Available,7
C046,Surveying Contractor,Construction Support,C046-M06,Raghu Yadav,Site Surveyor,4,4.8,Available,7
C046,Surveying Contractor,Construction Support,C046-M07,Sanjay Menon,Survey Assistant,6,4.2,Available,7
C047,Geotechnical Contractor,Construction Support,C047-M01,Shankar Gupta,Geotechnical Engineer,14,4.5,Available,7
C047,Geotechnical Contractor,Construction Support,C047-M02,Bharat Das,Soil Testing Engineer,3,4.7,Busy,7
C047,Geotechnical Contractor,Construction Support,C047-M03,Sandeep Kapoor,Site Supervisor,5,4.9,Available,7
C047,Geotechnical Contractor,Construction Support,C047-M04,Amit Shetty,Drilling Technician,7,4.3,Available,7
C047,Geotechnical Contractor,Construction Support,C047-M05,Deepak Prasad,Lab Technician,9,4.5,Available,7
C047,Geotechnical Contractor,Construction Support,C047-M06,Uday Reddy,Field Technician,11,4.7,Available,7
C047,Geotechnical Contractor,Construction Support,C047-M07,Nithin Verma,Helper,13,4.9,Busy,7
C048,Excavation Contractor,Construction Support,C048-M01,Manish Sharma,Excavation Supervisor,8,4.4,Busy,7
C048,Excavation Contractor,Construction Support,C048-M02,Rakesh Rao,Excavator Operator,10,4.6,Available,7
C048,Excavation Contractor,Construction Support,C048-M03,Rajan Gupta,JCB Operator,12,4.8,Available,7
C048,Excavation Contractor,Construction Support,C048-M04,Naresh Das,Loader Operator,14,4.2,Available,7
C048,Excavation Contractor,Construction Support,C048-M05,Vivek Kapoor,Breaker Operator,3,4.4,Available,7
C048,Excavation Contractor,Construction Support,C048-M06,Ranjit Shetty,Site Worker,5,4.6,Busy,7
C048,Excavation Contractor,Construction Support,C048-M07,Mukul Prasad,Safety Officer,7,4.8,Available,7
C049,Cleaning & Housekeeping Contractor,Construction Support,C049-M01,Arjun Khan,Housekeeping Supervisor,15,4.3,Available,7
C049,Cleaning & Housekeeping Contractor,Construction Support,C049-M02,Rahul Goud,Site Cleaner,4,4.5,Available,7
C049,Cleaning & Housekeeping Contractor,Construction Support,C049-M03,Vikram Sharma,Floor Cleaner,6,4.7,Available,7
C049,Cleaning & Housekeeping Contractor,Construction Support,C049-M04,Suresh Rao,Glass Cleaner,8,4.9,Available,7
C049,Cleaning & Housekeeping Contractor,Construction Support,C049-M05,Ramesh Gupta,Deep Cleaning Technician,10,4.3,Busy,7
C049,Cleaning & Housekeeping Contractor,Construction Support,C049-M06,Karthik Das,Waste Collector,12,4.5,Available,7
C049,Cleaning & Housekeeping Contractor,Construction Support,C049-M07,Pradeep Kapoor,Helper,14,4.7,Available,7
C050,Waste Management Contractor,Construction Support,C050-M01,Naveen Nair,Waste Management Supervisor,9,4.2,Available,7
C050,Waste Management Contractor,Construction Support,C050-M02,Rohit Mehta,Segregation Worker,11,4.4,Available,7
C050,Waste Management Contractor,Construction Support,C050-M03,Manoj Khan,Collection Operator,13,4.6,Available,7
C050,Waste Management Contractor,Construction Support,C050-M04,Harish Goud,Vehicle Operator,15,4.8,Busy,7
C050,Waste Management Contractor,Construction Support,C050-M05,Ajay Sharma,Recycling Worker,4,4.2,Available,7
C050,Waste Management Contractor,Construction Support,C050-M06,Vijay Rao,Site Cleaner,6,4.4,Available,7
C050,Waste Management Contractor,Construction Support,C050-M07,Sai Gupta,Safety Officer,8,4.6,Available,7
C051,Signage Contractor,Construction Support,C051-M01,Dinesh Naidu,Signage Designer,3,4.9,Available,7
C051,Signage Contractor,Construction Support,C051-M02,Mahesh Mishra,Project Supervisor,5,4.3,Available,7
C051,Signage Contractor,Construction Support,C051-M03,Anil Nair,Fabricator,7,4.5,Busy,7
C051,Signage Contractor,Construction Support,C051-M04,Sunil Mehta,Graphic Installer,9,4.7,Available,7
C051,Signage Contractor,Construction Support,C051-M05,Tarun Khan,Electric Sign Technician,11,4.9,Available,7
C051,Signage Contractor,Construction Support,C051-M06,Varun Goud,Mounting Technician,13,4.3,Available,7
C051,Signage Contractor,Construction Support,C051-M07,Aditya Sharma,Helper,15,4.5,Available,7
